"Type","Ref","LocalPath","SourceFile"
"MISSING_DIR_INDEX","./csr-projects/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\csr-projects\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./home/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\home\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./news/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\news\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./gallery/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\gallery\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./publications/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\publications\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./brochures/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\brochures\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./events/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\events\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./rti/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\rti\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./home/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\home\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./tenders/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\tenders\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./annual-procurement-plan/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\annual-procurement-plan\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./msme/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\msme\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
